Gas-z1,Gas-z2,Gas turbine-z1,Gas turbine-z2,Wind-z1,Wind-z2,Solar-z1,Solar-z2,Nuclear-z1,Nuclear-z2,Coal-z1,Coal-z2,Battery-z1,Index,Investment_Cost,EV_SystemCost,CVaR_SystemCost,CVaR_OpCost,EV_OpCost,Expected_Power_Price,Cost_by_zone_baseZone1,Price_by_zone_baseZone1,Cost_by_zone_baseZone2,Price_by_zone_baseZone2,Expected_emissions,CO2_by_zone_baseZone1,CO2_by_zone_baseZone2
2281.974662207041,1.0e-5,6139.194291434213,5879.781354715232,20593.380761406326,1.0e-5,9836.648845523585,1.0e-5,1.0e-5,15620.293464605244,1.0e-5,1058.4119003116043,915.9595856086572,Sample 42,4.1050281822830396e9,4.607265555752251e9,5.008819709719889e9,1.3053456814044878e9,5.022373734692113e8,8.676793624952738,1.2807198629548982e7,8.734385831169922,2.1027174667989988e7,8.619201418735562,5.719603952046825e6,2.7178650797687764e6,3.001738872278036e6
3192.1550994768127,1.0e-5,5243.147856490467,5780.592361719065,20246.09849460461,1.0e-5,10114.219259518475,1.0e-5,1.0e-5,15499.039616144713,1.0e-5,1243.3771371270955,974.6566691998031,Sample 43,4.1095451351547422e9,4.609431758833158e9,5.00765217725767e9,1.2963274605274403e9,4.998866236784154e8,8.541645249023313,1.3238423621860165e7,8.604261872379753,2.0503951627617262e7,8.479028625666881,5.959453857209663e6,2.7996947478199126e6,3.159759109389755e6
2407.782321378413,1.0e-5,5792.546989519916,5690.2200985875725,20398.994404379624,1.0e-5,10702.330818726716,1.0e-5,1.0e-5,15258.404292656303,1.0e-5,1449.0430280869914,1376.1230323915938,Sample 44,4.1189352883301735e9,4.613352287842887e9,5.01017962886454e9,1.2880716815560198e9,4.944169995127135e8,8.69053328283974,1.2158668419276465e7,8.744955461751735,2.11123201249861e7,8.636111103927751,6.171863357106037e6,2.589984394770985e6,3.5818789623350394e6
3094.115525818498,1.0e-5,5159.475386509354,5939.571508582527,20326.158658382214,1.0e-5,9627.646186561617,1.0e-5,1.0e-5,15830.07596483404,1.0e-5,885.9753250496875,1098.8153241997659,Sample 45,4.11384272273961e9,4.610967121743851e9,5.009202734257104e9,1.293595624030747e9,4.9712439900424063e8,8.591388031400966,1.3489072979573114e7,8.708576959546313,2.0032217173256706e7,8.474199103255621,5.392746390120785e6,2.849376854705593e6,2.5433695354151847e6
3227.921713963035,1.0e-5,5150.890349856037,5866.66736525879,19767.18597662359,1.0e-5,10182.560804373345,1.0e-5,1.0e-5,15632.546308642977,1.0e-5,1058.4452303957405,1079.2563128635538,Sample 46,4.0986963581543612e9,4.604286040462088e9,5.0081276827628975e9,1.3132729669093459e9,5.055896823077265e8,8.761721677987818,1.3583495610386241e7,8.829024290233148,2.059285171760935e7,8.694419065742494,5.757266494686756e6,2.857993089582867e6,2.899273405103864e6
2796.7595185406644,1.0e-5,5476.991140145367,5840.6736356366355,20733.52489599681,1.0e-5,10092.214085162672,1.0e-5,1.0e-5,15149.46111111713,1.0e-5,1596.0057105337783,943.7552344425941,Sample 47,4.1036730685677314e9,4.607418848664555e9,5.008429978019808e9,1.3057680388073292e9,5.037457800968231e8,8.75220861993279,1.2658115034749694e7,8.863655716278094,2.127577883905507e7,8.640761523587486,6.549049944474875e6,2.683233980788279e6,3.865815963686594e6
3476.409932923249,1.0e-5,4932.763848139438,5848.953241180151,20227.52370299673,1.0e-5,9743.339075055856,1.0e-5,1.0e-5,15608.750832922331,1.0e-5,1104.6319530317,985.5054576573193,Sample 48,4.1036416911993446e9,4.606982125074003e9,5.007838736561929e9,1.30505365685051e9,5.033404338746589e8,8.8589567094518,1.377654440095471e7,8.91830285246797,2.0211094372632854e7,8.799610566435632,5.812291070622563e6,2.907645498921411e6,2.904645571701151e6
2917.533798449737,1.0e-5,5504.610846301378,5761.648369445457,20020.430118173674,1.0e-5,9753.07246134538,1.0e-5,1.0e-5,15656.715911355253,1.0e-5,1167.2529576612912,986.6673589076513,Sample 49,4.100333804165075e9,4.605632472222739e9,5.007683139108117e9,1.3094000018284214e9,5.0529866805766404e8,8.822238308086536,1.3291312287657086e7,8.95455497109851,2.084469490981183e7,8.689921645074564,5.889790183564032e6,2.8128092675450197e6,3.0769809160189987e6
3395.6791126525154,1.0e-5,4960.797194648329,5859.622475690177,20252.633010058955,1.0e-5,9897.23570756009,1.0e-5,1.0e-5,15481.730782915303,1.0e-5,1246.5367075173667,1012.5998481978979,Sample 50,4.1039715813283772e9,4.607379908821948e9,5.007736187278875e9,1.3041208844074254e9,5.0340832749357057e8,8.667737310712036,1.3494277409440322e7,8.776037349968496,2.0492100334816158e7,8.559437271455577,6.0253496495743e6,2.850621788917217e6,3.1747278606570745e6
3046.410047786809,1.0e-5,5317.590479127313,5866.280918939322,20309.821144093876,1.0e-5,10036.896206962481,1.0e-5,1.0e-5,15448.889319323043,1.0e-5,1252.636974891065,981.5667122258491,Sample 51,4.1022077333616676e9,4.6060508806674385e9,5.007600417440478e9,1.3069422208518505e9,5.038431473057709e8,8.749171516782193,1.3174962429645492e7,8.806579806805294,2.082113963669297e7,8.691763226759088,6.038561876739727e6,2.7838423936486896e6,3.2547194830910363e6
3237.526424811468,1.0e-5,5171.89960939413,5855.511573664033,20080.843973282364,1.0e-5,9927.604391646582,1.0e-5,1.0e-5,15647.225780015913,1.0e-5,1075.5187158985436,970.4856823903549,Sample 52,4.1034603103218446e9,4.606415883975706e9,5.007553034345028e9,1.3052298743925054e9,5.0295557365386164e8,8.800399824637681,1.357168542888248e7,8.892146881327458,2.0400484620128535e7,8.708652767947912,5.750331662453696e6,2.8657375863176063e6,2.8845940761360885e6
3214.9056160365844,1.0e-5,5189.524648237602,5821.654717714297,20125.307563598366,1.0e-5,9899.640503194094,1.0e-5,1.0e-5,15556.889691837723,1.0e-5,1199.5831758458528,977.2777518336034,Sample 53,4.10210417715475e9,4.606305862296849e9,5.007530305549912e9,1.3066505716482263e9,5.0420168514209914e8,8.710569250577615,1.3417706346497722e7,8.802421985045159,2.063697731747194e7,8.618716516110066,5.949924383949247e6,2.8336939407283748e6,3.1162304432208445e6
1.0e-5,18688.708395571022,1.0e-5,1.0e-5,7107.299115546247,16039.797394038897,1.0e-5,1.0e-5,13723.993962671006,1.0e-5,981.4179587016754,1.0e-5,1.0e-5,Sample 54,3.959321224235856e9,4.854594447314797e9,5.420294915360602e9,2.0266741591705518e9,8.952732230789412e8,13.575694444444443,1.781744919889434e7,13.575694444444448,4.451219133012079e7,13.575694444444448,1.166380077526708e7,2.868854145289137e6,8.794946629977962e6
1.0e-5,1.0e-5,1.0e-5,17652.669661589967,36224.973785490285,1.0e-5,1.0e-5,1803.2356823503692,6324.791970483531,1.0e-5,8281.74073421862,1.0e-5,1.0e-5,Sample 55,3.88758663806658e9,4.817055330900003e9,5.307570408036674e9,1.9104988471067631e9,9.29468692833424e8,11.778402777777783,3.3210670201448895e7,11.012777777777782,3.0488677406528894e7,12.544027777777789,2.7201097411934122e7,2.114013412514358e7,6.060963286790556e6
1.0e-5,1078.974316266078,1.0e-5,16714.03231967147,11148.692395267499,16067.920769213291,1.0e-5,5248.894297406161,13328.404079502478,1.0e-5,1142.4398258205445,1.0e-5,1.0e-5,Sample 56,4.020242137890217e9,4.741362311130304e9,5.229767286995324e9,1.6979301249701269e9,7.211201732400879e8,10.911805555555558,1.4635312802465493e7,10.91180555555556,3.408113163096895e7,10.91180555555556,9.515405228083968e6,2.6921903490302856e6,6.823214879053713e6
