Time_index;Nuclear;Coal;Gas;Onshore_Wind;Offshore_Wind_Fixed;Offshore_Wind_Float;Solar;NS_Fixed_Wind;NS_Floating_Wind;Storage
181;1;1;1;0.36251589;0.654899928;0.654899928;0.468108024;0.217553707;0.217553707;1
182;1;1;1;0.401878325;0.664277209;0.664277209;0.447361054;0.226149118;0.226149118;1
183;1;1;1;0.454607257;0.680443968;0.680443968;0.333724927;0.235459051;0.235459051;1
184;1;1;1;0.514336086;0.69984818;0.69984818;0.176327732;0.245458155;0.245458155;1
185;1;1;1;0.569695728;0.718308673;0.718308673;0.006733782;0.265626871;0.265626871;1
186;1;1;1;0.59906495;0.739112959;0.739112959;0;0.299445281;0.299445281;1
187;1;1;1;0.615259544;0.767310796;0.767310796;0;0.345339006;0.345339006;1
188;1;1;1;0.621265344;0.78635989;0.78635989;0;0.39635724;0.39635724;1
189;1;1;1;0.623874344;0.797950684;0.797950684;0;0.44305726;0.44305726;1
190;1;1;1;0.631563907;0.817122576;0.817122576;0;0.485996311;0.485996311;1
191;1;1;1;0.565936115;0.827984217;0.827984217;0;0.523995772;0.523995772;1
192;1;1;1;0.602367055;0.824421484;0.824421484;0;0.581542537;0.581542537;1
193;1;1;1;0.619222465;0.830392215;0.830392215;0;0.628808039;0.628808039;1
194;1;1;1;0.635856954;0.841604412;0.841604412;0;0.682756943;0.682756943;1
195;1;1;1;0.649237027;0.830431297;0.830431297;0;0.736495342;0.736495342;1
196;1;1;1;0.644896988;0.837906311;0.837906311;0;0.765365796;0.765365796;1
197;1;1;1;0.630783124;0.86986281;0.86986281;0;0.786027453;0.786027453;1
198;1;1;1;0.612003891;0.850418244;0.850418244;0;0.81967174;0.81967174;1
199;1;1;1;0.58343453;0.833265186;0.833265186;0;0.852599806;0.852599806;1
200;1;1;1;0.555320635;0.830149091;0.830149091;0;0.867454765;0.867454765;1
201;1;1;1;0.539605294;0.805670607;0.805670607;0.007386198;0.872212747;0.872212747;1
202;1;1;1;0.511413762;0.792353543;0.792353543;0.111454824;0.871159453;0.871159453;1
203;1;1;1;0.410513515;0.740321815;0.740321815;0.217050652;0.877711358;0.877711358;1
204;1;1;1;0.3827851;0.700468579;0.700468579;0.275509896;0.869155359;0.869155359;1
205;1;1;1;0.36042337;0.676511042;0.676511042;0.302078726;0.865893014;0.865893014;1
206;1;1;1;0.3455039;0.659578114;0.659578114;0.275425151;0.864257833;0.864257833;1
207;1;1;1;0.344720854;0.638472581;0.638472581;0.198773911;0.865913063;0.865913063;1
208;1;1;1;0.348640087;0.651891822;0.651891822;0.096018289;0.868839506;0.868839506;1
209;1;1;1;0.350851838;0.653398618;0.653398618;0.005336234;0.868066484;0.868066484;1
210;1;1;1;0.342801147;0.647558881;0.647558881;0;0.865119911;0.865119911;1
211;1;1;1;0.330139862;0.637725354;0.637725354;0;0.858947591;0.858947591;1
212;1;1;1;0.313496596;0.634019609;0.634019609;0;0.850654361;0.850654361;1
213;1;1;1;0.290592947;0.655843706;0.655843706;0;0.841146298;0.841146298;1
214;1;1;1;0.265497271;0.637441342;0.637441342;0;0.8319067;0.8319067;1
215;1;1;1;0.227436585;0.591624657;0.591624657;0;0.795974022;0.795974022;1
216;1;1;1;0.208089966;0.568405384;0.568405384;0;0.783117492;0.783117492;1
217;1;1;1;0.185638305;0.531279324;0.531279324;0;0.770442897;0.770442897;1
218;1;1;1;0.171250881;0.4866223;0.4866223;0;0.758091702;0.758091702;1
219;1;1;1;0.161332607;0.407554512;0.407554512;0;0.726177657;0.726177657;1
220;1;1;1;0.164738648;0.391703354;0.391703354;0;0.698622581;0.698622581;1
221;1;1;1;0.155134777;0.39271397;0.39271397;0;0.648785963;0.648785963;1
222;1;1;1;0.155799928;0.410090522;0.410090522;0;0.617250595;0.617250595;1
223;1;1;1;0.154928864;0.429307935;0.429307935;0;0.598962556;0.598962556;1
224;1;1;1;0.16276171;0.458222191;0.458222191;0;0.580399398;0.580399398;1
225;1;1;1;0.169280146;0.469700173;0.469700173;0.011351795;0.563512554;0.563512554;1
226;1;1;1;0.157847966;0.463336478;0.463336478;0.115628964;0.549539085;0.549539085;1
227;1;1;1;0.118877167;0.461422615;0.461422615;0.215821527;0.496218497;0.496218497;1
228;1;1;1;0.091467711;0.418503836;0.418503836;0.312599007;0.46649373;0.46649373;1
229;1;1;1;0.085455613;0.388306991;0.388306991;0.365005604;0.449078945;0.449078945;1
230;1;1;1;0.070822713;0.358550752;0.358550752;0.323244427;0.452201238;0.452201238;1
231;1;1;1;0.066295609;0.380745786;0.380745786;0.240395752;0.450876063;0.450876063;1
232;1;1;1;0.078713859;0.424011978;0.424011978;0.12523156;0.474465301;0.474465301;1
233;1;1;1;0.094704588;0.460967042;0.460967042;0.005351809;0.482231684;0.482231684;1
234;1;1;1;0.107063722;0.494144683;0.494144683;0;0.473192274;0.473192274;1
235;1;1;1;0.110270145;0.482007025;0.482007025;0;0.482340435;0.482340435;1
236;1;1;1;0.103467896;0.43598752;0.43598752;0;0.433846281;0.433846281;1
237;1;1;1;0.09237822;0.399111345;0.399111345;0;0.375771967;0.375771967;1
238;1;1;1;0.079736917;0.343097637;0.343097637;0;0.340743183;0.340743183;1
239;1;1;1;0.063504816;0.270266948;0.270266948;0;0.303659058;0.303659058;1
240;1;1;1;0.050254901;0.190063703;0.190063703;0;0.295997035;0.295997035;1
241;1;1;1;0.039841401;0.147743671;0.147743671;0;0.28162911;0.28162911;1
242;1;1;1;0.033249987;0.129481848;0.129481848;0;0.265794145;0.265794145;1
243;1;1;1;0.029734124;0.119994892;0.119994892;0;0.288631576;0.288631576;1
244;1;1;1;0.027425669;0.120447233;0.120447233;0;0.328381505;0.328381505;1
245;1;1;1;0.025271954;0.121871773;0.121871773;0;0.33482679;0.33482679;1
246;1;1;1;0.023142076;0.105701766;0.105701766;0;0.328476244;0.328476244;1
247;1;1;1;0.020992289;0.085166385;0.085166385;0;0.306520834;0.306520834;1
248;1;1;1;0.018397465;0.068364822;0.068364822;0;0.275422865;0.275422865;1
249;1;1;1;0.015355082;0.053626361;0.053626361;0.006495631;0.262502783;0.262502783;1
250;1;1;1;0.011502444;0.046516949;0.046516949;0.061048958;0.252904992;0.252904992;1
251;1;1;1;0.011622281;0.067542016;0.067542016;0.112450567;0.254917091;0.254917091;1
252;1;1;1;0.01016253;0.087055445;0.087055445;0.166133776;0.272083245;0.272083245;1
253;1;1;1;0.011455076;0.117796926;0.117796926;0.172523076;0.306748405;0.306748405;1
254;1;1;1;0.015810916;0.145403289;0.145403289;0.158523875;0.335369633;0.335369633;1
255;1;1;1;0.020989383;0.163734257;0.163734257;0.122055788;0.361069343;0.361069343;1
256;1;1;1;0.027990035;0.184262478;0.184262478;0.06064984;0.417049667;0.417049667;1
257;1;1;1;0.037395439;0.21561569;0.21561569;0.005182674;0.438085104;0.438085104;1
258;1;1;1;0.043391874;0.250652467;0.250652467;0;0.457887231;0.457887231;1
259;1;1;1;0.044148003;0.260476859;0.260476859;0;0.467254037;0.467254037;1
260;1;1;1;0.041692657;0.246566974;0.246566974;0;0.481432296;0.481432296;1
261;1;1;1;0.038757491;0.23050502;0.23050502;0;0.491904491;0.491904491;1
262;1;1;1;0.037266535;0.218090834;0.218090834;0;0.514609616;0.514609616;1
263;1;1;1;0.035131133;0.196709211;0.196709211;0;0.485240968;0.485240968;1
