Time_index;Load;Load_alternative_scenario_1_low;Load_alternative_scenario_2_high;Load_alternative_scenario_2_Very_high
505;118924.9576;101086.214;136763.7013;154602.4449
506;113681.5601;96629.32606;130733.7941;147786.0281
507;110604.0089;94013.40757;127194.6102;143785.2116
508;109657.4293;93208.81489;126106.0437;142554.6581
509;111529.2218;94799.83851;128258.605;144987.9883
510;116517.681;99040.02888;133995.3332;151472.9853
511;124593.0996;105904.1347;143282.0646;161971.0295
512;137201.3235;116621.125;157781.522;178361.7206
513;147180.3844;125103.3267;169257.4421;191334.4997
514;150451.7671;127884.002;173019.5321;195587.2972
515;150808.3879;128187.1297;173429.6461;196050.9043
516;151403.5226;128692.9942;174114.051;196824.5794
517;152067.5464;129257.4145;174877.6784;197687.8104
518;150887.8467;128254.6697;173521.0237;196154.2008
519;149741.0456;127279.8887;172202.2024;194663.3592
520;148721.3612;126413.157;171029.5654;193337.7696
521;149091.5748;126727.8386;171455.311;193819.0473
522;149407.3375;126996.2369;171818.4381;194229.5387
523;151715.3019;128958.0066;174472.5972;197229.8925
524;150409.5674;127848.1323;172971.0025;195532.4377
525;146346.3379;124394.3873;168298.2886;190250.2393
526;139991.5038;118992.7783;160990.2294;181988.955
527;134504.2973;114328.6527;154679.9418;174855.5864
528;128420.2351;109157.1998;147683.2704;166946.3057
529;122546.3548;104164.4016;140928.308;159310.2612
530;117447.6929;99830.53893;135064.8468;152682.0007
531;114393.6241;97234.58049;131552.6677;148711.7113
532;113288.0268;96294.8228;130281.2309;147274.4349
533;114822.8664;97599.4364;132046.2963;149269.7263
534;119266.8523;101376.8245;137156.8802;155046.908
535;126451.5741;107483.838;145419.3103;164387.0464
